"","lat","min_elev","max_elev","range","sp","saz","elev_avai","occup_prop"
"1",-31,15.08,276.66,261.58,"Cacicus chrysopterus",44.4321004391827,430.4,60.7760223048327
"2",-30,33.65,225.7,192.05,"Cacicus chrysopterus",43.0682711334838,490.25,39.1738908720041
"3",-29,45.9,918.37,872.47,"Cacicus chrysopterus",41.0805498660785,1137.82,76.6790880807158
"4",-28,53.62,1247.15,1193.53,"Cacicus chrysopterus",38.9283423397108,1634.38,73.0264687526769
"5",-27,50.27,1338.67,1288.4,"Cacicus chrysopterus",37.3106051224317,1561.14,82.529433619022
"6",-26,55.63,872.93,817.3,"Cacicus chrysopterus",35.339870259481,1412.85,57.8476129808543
"7",-25,65.63,1041.78,976.15,"Cacicus chrysopterus",33.1009647887324,1382.75,70.5948291448201
"8",-24,567.46,900.68,333.22,"Cacicus chrysopterus",29.9000535378382,1258.81,26.471032165299
"9",-23,704.71,1408.89,704.18,"Cacicus chrysopterus",26.1062620708155,1495.3,47.0928910586504
"10",-22,872.46,1919.23,1046.77,"Cacicus chrysopterus",22.8767283441367,2300.59,45.5000673740214
"11",-27,212.19,945.53,733.34,"Drymophila rubricollis",37.3106051224317,1561.14,46.974646732516
"12",-26,392.3,841.03,448.73,"Drymophila rubricollis",35.339870259481,1412.85,31.7606256856708
"13",-25,183.32,924.94,741.62,"Drymophila rubricollis",33.1009647887324,1382.75,53.6337009582354
"14",-24,572.43,918.88,346.45,"Drymophila rubricollis",29.9000535378382,1258.81,27.5220247694251
"15",-23,788.51,1346.06,557.55,"Drymophila rubricollis",26.1062620708155,1495.3,37.2868320738313
"16",-22,960.09,1784.67,824.58,"Drymophila rubricollis",22.8767283441367,2300.59,35.8421100674175
"17",-29,137.75,1010.6,872.85,"Elaenia mesoleuca",41.0805498660785,1137.82,76.7124852788666
"18",-28,372.93,1459.25,1086.32,"Elaenia mesoleuca",38.9283423397108,1634.38,66.4667947478555
"19",-27,91.43,1406.52,1315.09,"Elaenia mesoleuca",37.3106051224317,1561.14,84.2390816967088
"20",-25,204.89,1061.48,856.59,"Elaenia mesoleuca",33.1009647887324,1382.75,61.9482914482011
"21",-23,624.17,1327.36,703.19,"Elaenia mesoleuca",26.1062620708155,1495.3,47.0266836086404
"22",-22,649.29,1884.61,1235.32,"Elaenia mesoleuca",22.8767283441367,2300.59,53.6957910796796
"23",-20,833.8,1627.37,793.57,"Elaenia mesoleuca",18.6718702073275,2339.46,33.921075803818
"24",-29,238.81,1010.6,771.79,"Heliobletus contaminatus",41.0805498660785,1137.82,67.8305883180116
"25",-28,461.41,1459.25,997.84,"Heliobletus contaminatus",38.9283423397108,1634.38,61.0531210611975
"26",-27,258.76,1400,1141.24,"Heliobletus contaminatus",37.3106051224317,1561.14,73.1029888414876
"27",-26,320.12,1117.92,797.8,"Heliobletus contaminatus",35.339870259481,1412.85,56.4674240011325
"28",-25,204.89,1061.48,856.59,"Heliobletus contaminatus",33.1009647887324,1382.75,61.9482914482011
"29",-24,620.45,913.78,293.33,"Heliobletus contaminatus",29.9000535378382,1258.81,23.3021663316942
"30",-23,782.09,1346.06,563.97,"Heliobletus contaminatus",26.1062620708155,1495.3,37.7161773557146
"31",-22,984.23,2030.92,1046.69,"Heliobletus contaminatus",22.8767283441367,2300.59,45.4965900051726
"32",-29,48.02,918.37,870.35,"Mackenziaena leachii",41.0805498660785,1137.82,76.4927668699794
"33",-28,323.2,1441.76,1118.56,"Mackenziaena leachii",38.9283423397108,1634.38,68.4394082159596
"34",-27,107.08,1417.12,1310.04,"Mackenziaena leachii",37.3106051224317,1561.14,83.9156001383604
"35",-26,156.07,998.39,842.32,"Mackenziaena leachii",35.339870259481,1412.85,59.6185016102205
"36",-25,191.3,1000.08,808.78,"Mackenziaena leachii",33.1009647887324,1382.75,58.4906888446935
"37",-23,767.72,1346.06,578.34,"Mackenziaena leachii",26.1062620708155,1495.3,38.677188524042
"38",-22,848.58,1919.23,1070.65,"Mackenziaena leachii",22.8767283441367,2300.59,46.5380619754063
"39",-20,824.3,1941.43,1117.13,"Mackenziaena leachii",18.6718702073275,2339.46,47.7516178947279
"40",-34,0.26,219.29,219.03,"Microspingus lateralis",44.684908315565,435.3,50.3170227429359
"41",-33,2.32,84.57,82.25,"Microspingus lateralis",45.592505005005,413.71,19.88107611612
"42",-32,6.55,185.44,178.89,"Microspingus lateralis",45.5079133694294,352.12,50.8037032829717
"43",-31,2.64,239.05,236.41,"Microspingus lateralis",44.4321004391827,430.4,54.9279739776952
"44",-30,29.81,225.7,195.89,"Microspingus lateralis",43.0682711334838,490.25,39.9571647118817
"45",-29,46.93,945.99,899.06,"Microspingus lateralis",41.0805498660785,1137.82,79.0160130776397
"46",-28,96.33,1376.36,1280.03,"Microspingus lateralis",38.9283423397108,1634.38,78.3189955824227
"47",-27,309.47,1417.12,1107.65,"Microspingus lateralis",37.3106051224317,1561.14,70.9513560603149
"48",-26,471.15,1218.78,747.63,"Microspingus lateralis",35.339870259481,1412.85,52.9164454825353
"49",-25,827.91,1052.19,224.28,"Microspingus lateralis",33.1009647887324,1382.75,16.2198517447116
"50",-23,971.22,1462.62,491.4,"Microspingus lateralis",26.1062620708155,1495.3,32.8629706413429
"51",-22,1055.38,2060.19,1004.81,"Microspingus lateralis",22.8767283441367,2300.59,43.6761874127941
"52",-27,400.86,1066.55,665.69,"Muscipipra vetula",37.3106051224317,1561.14,42.6412749657302
"53",-24,593.83,918.88,325.05,"Muscipipra vetula",29.9000535378382,1258.81,25.8220064982007
"54",-23,707.18,1327.36,620.18,"Muscipipra vetula",26.1062620708155,1495.3,41.4752892396175
"55",-22,783.83,1919.23,1135.4,"Muscipipra vetula",22.8767283441367,2300.59,49.3525573874528
"56",-20,848.71,1352.71,504,"Muscipipra vetula",18.6718702073275,2339.46,21.5434330999461
"57",-34,2.21,89.91,87.7,"Phylloscartes ventralis",44.684908315565,435.3,20.1470250402022
"58",-32,6.86,163.04,156.18,"Phylloscartes ventralis",45.5079133694294,352.12,44.3541974326934
"59",-31,4.03,230.88,226.85,"Phylloscartes ventralis",44.4321004391827,430.4,52.7067843866171
"60",-29,64.28,881.84,817.56,"Phylloscartes ventralis",41.0805498660785,1137.82,71.853192947918
"61",-28,187.19,1387.62,1200.43,"Phylloscartes ventralis",38.9283423397108,1634.38,73.4486471934311
"62",-27,145.71,1406.52,1260.81,"Phylloscartes ventralis",37.3106051224317,1561.14,80.7621353626196
"63",-26,214.9,1086.32,871.42,"Phylloscartes ventralis",35.339870259481,1412.85,61.6781682414977
"64",-25,204.52,1064.88,860.36,"Phylloscartes ventralis",33.1009647887324,1382.75,62.2209365395046
"65",-23,780.35,1346.06,565.71,"Phylloscartes ventralis",26.1062620708155,1495.3,37.8325419648231
"66",-22,863.2,1884.61,1021.41,"Phylloscartes ventralis",22.8767283441367,2300.59,44.3977414489327
"67",-21,960.87,1388.87,428,"Phylloscartes ventralis",20.5883781303265,1438.92,29.7445306201874
"68",-20,976.89,1428.48,451.59,"Phylloscartes ventralis",18.6718702073275,2339.46,19.3031725269934
"69",-29,103.72,881.84,778.12,"Piculus aurulentus",41.0805498660785,1137.82,68.386915329314
"70",-28,187.19,1151.67,964.48,"Piculus aurulentus",38.9283423397108,1634.38,59.0119800780724
"71",-27,229.33,1066.55,837.22,"Piculus aurulentus",37.3106051224317,1561.14,53.6287584713735
"72",-26,236.43,1077.09,840.66,"Piculus aurulentus",35.339870259481,1412.85,59.501008599639
"73",-25,204.89,1061.48,856.59,"Piculus aurulentus",33.1009647887324,1382.75,61.9482914482011
"74",-24,616.53,925.81,309.28,"Piculus aurulentus",29.9000535378382,1258.81,24.5692360244993
"75",-23,751.12,1203.25,452.13,"Piculus aurulentus",26.1062620708155,1495.3,30.236741790945
"76",-22,873.73,1872.55,998.82,"Piculus aurulentus",22.8767283441367,2300.59,43.4158194202357
"77",-20,838.39,1397.32,558.93,"Piculus aurulentus",18.6718702073275,2339.46,23.8914108383986
"78",-28,419.61,1459.25,1039.64,"Saltator maxillosus",38.9283423397108,1634.38,63.6106658182308
"79",-27,586.5,1417.12,830.62,"Saltator maxillosus",37.3106051224317,1561.14,53.2059904941261
"80",-26,619.91,1212.16,592.25,"Saltator maxillosus",35.339870259481,1412.85,41.9188165764235
"81",-25,390.52,1041.78,651.26,"Saltator maxillosus",33.1009647887324,1382.75,47.0988971252938
"82",-22,1053.43,2030.92,977.49,"Saltator maxillosus",22.8767283441367,2300.59,42.4886659509082
"83",-34,2.42,243.93,241.51,"Stephanophorus diadematus",44.684908315565,435.3,55.4812772800368
"84",-33,2.33,154.42,152.09,"Stephanophorus diadematus",45.592505005005,413.71,36.7624664620144
"85",-32,3.53,213.96,210.43,"Stephanophorus diadematus",45.5079133694294,352.12,59.7608769737589
"86",-31,2.64,230.01,227.37,"Stephanophorus diadematus",44.4321004391827,430.4,52.8276022304833
"87",-30,39.49,281.27,241.78,"Stephanophorus diadematus",43.0682711334838,490.25,49.3176950535441
"88",-29,403.09,1010.6,607.51,"Stephanophorus diadematus",41.0805498660785,1137.82,53.3924522332179
"89",-28,339.11,1544.63,1205.52,"Stephanophorus diadematus",38.9283423397108,1634.38,73.760080275089
"90",-27,624.36,1417.12,792.76,"Stephanophorus diadematus",37.3106051224317,1561.14,50.7808396428251
"91",-26,493.51,1226.39,732.88,"Stephanophorus diadematus",35.339870259481,1412.85,51.8724563824893
"92",-25,827.91,1064.88,236.97,"Stephanophorus diadematus",33.1009647887324,1382.75,17.1375881395769
"93",-24,717.66,993.38,275.72,"Stephanophorus diadematus",29.9000535378382,1258.81,21.90322606271
"94",-23,751.12,1462.62,711.5,"Stephanophorus diadematus",26.1062620708155,1495.3,47.5824249314519
"95",-22,1053.43,2060.19,1006.76,"Stephanophorus diadematus",22.8767283441367,2300.59,43.7609482784851
"96",-29,46.93,881.84,834.91,"Stephanoxis lalandi",41.0805498660785,1137.82,73.3780387055949
"97",-28,236.43,1230.18,993.75,"Stephanoxis lalandi",38.9283423397108,1634.38,60.8028732608084
"98",-27,142.02,1066.55,924.53,"Stephanoxis lalandi",37.3106051224317,1561.14,59.2214663643235
"99",-26,163.99,941.16,777.17,"Stephanoxis lalandi",35.339870259481,1412.85,55.0072548395088
"100",-25,177.77,971.58,793.81,"Stephanoxis lalandi",33.1009647887324,1382.75,57.4080636412945
"101",-24,467.28,918.88,451.6,"Stephanoxis lalandi",29.9000535378382,1258.81,35.875151929203
"102",-22,1053.43,2190.96,1137.53,"Stephanoxis lalandi",22.8767283441367,2300.59,49.4451423330537
"103",-29,37.44,928.75,891.31,"Synallaxis cinerascens",41.0805498660785,1137.82,78.3348860100895
"104",-28,356.98,1195.7,838.72,"Synallaxis cinerascens",38.9283423397108,1634.38,51.3173191057159
"105",-27,145.42,1348.35,1202.93,"Synallaxis cinerascens",37.3106051224317,1561.14,77.0545883136682
"106",-26,166.16,1086.32,920.16,"Synallaxis cinerascens",35.339870259481,1412.85,65.1279329015819
"107",-25,191.3,979.93,788.63,"Synallaxis cinerascens",33.1009647887324,1382.75,57.0334478394504
"108",-24,616.53,925.81,309.28,"Synallaxis cinerascens",29.9000535378382,1258.81,24.5692360244993
"109",-22,751.47,1853.75,1102.28,"Synallaxis cinerascens",22.8767283441367,2300.59,47.9129266840245
"110",-21,739.19,1247.33,508.14,"Synallaxis cinerascens",20.5883781303265,1438.92,35.3139854891168
"111",-20,903.72,1352.71,448.99,"Synallaxis cinerascens",18.6718702073275,2339.46,19.1920357689381
"112",-34,3.96,119.59,115.63,"Syndactyla rufosuperciliata",44.684908315565,435.3,26.5632896852745
"113",-31,3,230.88,227.88,"Syndactyla rufosuperciliata",44.4321004391827,430.4,52.9460966542751
"114",-29,46.93,872.68,825.75,"Syndactyla rufosuperciliata",41.0805498660785,1137.82,72.5729904554323
"115",-28,65.64,1007.83,942.19,"Syndactyla rufosuperciliata",38.9283423397108,1634.38,57.6481601585923
"116",-27,71.62,1008.77,937.15,"Syndactyla rufosuperciliata",37.3106051224317,1561.14,60.0298499814238
"117",-26,166.16,983.94,817.78,"Syndactyla rufosuperciliata",35.339870259481,1412.85,57.8815868634321
"118",-25,184.24,1041.78,857.54,"Syndactyla rufosuperciliata",33.1009647887324,1382.75,62.0169951184234
"119",-24,586.39,900.68,314.29,"Syndactyla rufosuperciliata",29.9000535378382,1258.81,24.9672309562206
"120",-23,695.21,1327.36,632.15,"Syndactyla rufosuperciliata",26.1062620708155,1495.3,42.2757974988297
"121",-22,916.21,1853.75,937.54,"Syndactyla rufosuperciliata",22.8767283441367,2300.59,40.7521548820085
"122",-20,957.83,1627.37,669.54,"Syndactyla rufosuperciliata",18.6718702073275,2339.46,28.6194249955118
